x,y
-119.4843822,49.88354232
-119.4843126,49.88354201
-119.4842431,49.88354171
-119.4841735,49.8835414
-119.4841039,49.8835411
-119.4840344,49.88354079
-119.4839648,49.88354049
-119.4838952,49.88354018
-119.4838256,49.88353988
-119.4837561,49.88353957
-119.4836865,49.88353927
-119.4836169,49.88353897
-119.4835474,49.88353866
-119.4834778,49.88353835
-119.4834082,49.88353805
-119.4833387,49.88353774
-119.4832691,49.88353744
-119.4831995,49.88353713
-119.4831299,49.88353683
-119.4830604,49.88353652
-119.4829908,49.88353622
-119.4829212,49.88353591
-119.4828517,49.88353561
-119.4827821,49.8835353
-119.4827125,49.88353495
-119.482643,49.88353458
-119.4825734,49.8835342
-119.4825038,49.88353383
-119.4824342,49.88353346
-119.4823647,49.88353308
-119.4822951,49.88353271
-119.4822255,49.88353234
-119.482156,49.88353196
-119.4820864,49.88353159
-119.4820168,49.88353122
-119.4819473,49.88353084
-119.4818777,49.88353047
-119.4818081,49.8835301
-119.4817385,49.88352972
-119.481669,49.88352935
-119.4815994,49.88352898
-119.4815298,49.8835286
-119.4814603,49.88352823
-119.4813907,49.88352786
-119.4813211,49.88352748
-119.4812516,49.88352711
-119.481182,49.88352673
-119.4811124,49.88352636
-119.4810429,49.88352599
-119.4809733,49.88352561
-119.4809037,49.88352524
-119.4808341,49.88352486
-119.4807646,49.88352449
-119.480695,49.88352411
-119.4806254,49.88352374
-119.4805559,49.88352337
-119.4804863,49.88352299
-119.4804167,49.88352262
-119.4803472,49.88352224
-119.4802776,49.88352187
-119.480208,49.88352149
-119.4801385,49.88352112
-119.4800689,49.88352074
-119.4799993,49.88352037
-119.4799297,49.88351999
-119.4798602,49.88351962
-119.4797906,49.88351924
-119.479721,49.88351887
-119.4796515,49.8835185
-119.4795819,49.88351812
-119.4795123,49.88351775
-119.4794428,49.88351737
-119.4793732,49.883517
-119.4793036,49.88351662
-119.479234,49.88351625
-119.4791645,49.88351587
-119.4790949,49.8835155
-119.4790253,49.88351512
-119.4789558,49.88351475
-119.4788862,49.88351437
-119.4788166,49.88351399
-119.4787471,49.88351362
-119.4786775,49.88351324
-119.4786079,49.88351287
-119.4785384,49.88351249
-119.4784688,49.88351212
-119.4783992,49.88351174
-119.4783296,49.88351137
-119.4782601,49.88351099
-119.4781905,49.88351061
-119.478121,49.88350923
-119.4780515,49.88350665
-119.4779821,49.88350407
-119.4779126,49.88350149
-119.4778432,49.88349891
-119.4777737,49.88349633
-119.4777042,49.88349375
-119.4776348,49.88349117
-119.4775653,49.88348859
-119.4774959,49.88348601
